Feature	Importance	Frequency	Sign	Consistency
prop(no=species=fact)	9.9	1	+	1
mean(SF)	9	1	-	1
mean(OL)	6.8	0.92	-	1
mean(CM)	6.2	0.92	-	1
mean(log(MASS))	4.9	0.77	-	1
prop(HYP=3)	3.5	0.77	-	1
mean(AL)	2.4	0.62	+	0.75
prop(HOR=2)	2.4	0.77	-	1
mean(HYP)	2	0.54	-	1
prop(HYP=1)	1.7	0.31	+	1
prop(HOR=1)	1.5	0.69	+	1
prop(HYP=2)	1.2	0.31	+	1
mean(OT)	0.2	0.15	+	1
mean(HOR)	0.2	0.08	-	1
prop(HOR=3)	0.2	0.08	-	1
