Feature	Importance	Frequency	Sign	Consistency
mean(SF)	9.9	1	-	1
mean(OL)	7.5	0.92	-	1
mean(OT)	6.6	1	+	1
prop(HYP=1)	4.2	0.85	+	1
prop(HOR=1)	4.2	0.69	+	1
mean(HOR)	2.8	0.62	-	0.88
mean(AL)	2.7	0.54	-	0.57
prop(HOR=2)	2.4	0.31	-	0.75
mean(CM)	2.2	0.46	-	1
prop(HYP=2)	1.9	0.31	-	1
prop(HOR=3)	1.8	0.31	.	NA
mean(HYP)	1.8	0.77	-	1
prop(HYP=3)	0.3	0.15	-	1
