Site	observed	model	naive	res. model	res. naive	res. perc.	res. rel.
ABD	0.39	0.21	0.3	0.18	0.09	0.47	1.96
EL	0.3	0.32	0.3	-0.03	0	-0.09	-30.73
KK	0.56	0.43	0.3	0.14	0.26	0.24	0.51
MM	0.28	0.27	0.3	0.01	-0.02	0.03	-0.33
MR	0.23	0.26	0.3	-0.03	-0.07	-0.14	0.44
MKE	0.27	0.26	0.3	0.01	-0.03	0.02	-0.21
NR	0.2	0.22	0.3	-0.03	-0.1	-0.13	0.26
NV	0.26	0.3	0.3	-0.04	-0.04	-0.16	1
SB	0.18	0.24	0.3	-0.05	-0.12	-0.3	0.47
SH	0.43	0.46	0.3	-0.02	0.13	-0.06	-0.18
SHP	0.34	0.25	0.3	0.09	0.04	0.25	2.08
TN	0.24	0.27	0.3	-0.03	-0.06	-0.14	0.55
TV	0.2	0.18	0.3	0.03	-0.1	0.13	-0.27
