Site	observed	model	naive	res. model	res. naive	res. perc.	res. rel.
ABD	937	569	747	368	190	0.393	1.932
EL	1127	809	747	318	380	0.282	0.836
KK	1461	1069	747	392	714	0.268	0.549
MM	899	621	747	278	152	0.309	1.823
MR	306	654	747	-348	-441	-1.137	0.79
MKE	807	634	747	173	60	0.214	2.861
NR	635	661	747	-26	-112	-0.041	0.233
NV	669	710	747	-41	-78	-0.061	0.529
SB	432	545	747	-113	-315	-0.262	0.359
SH	1003	1266	747	-263	256	-0.262	-1.025
SHP	474	573	747	-99	-273	-0.209	0.363
TN	451	752	747	-301	-296	-0.667	1.018
TV	504	581	747	-77	-243	-0.153	0.317
