HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0	0	3110	-1990	-1058	1209
2	0	140	0	0	3172	-2598	0	1025
3	0	0	723	0	3650	-558	0	617
4	0	584	0	0	2394	-3290	0	770
5	0	1307	0	0	2940	-2603	0	-227
6	0	0	0	0	1613	-3040	-97	1546
7	0	91	0	0	2911	-2323	0	1068
8	0	0	0	0	3843	-1875	-107	948
9	0	84	0	0	1605	-3115	0	1504
10	0	0	0	0	2898	-1648	-1565	1293
11	0	523	0	0	3692	-2479	0	443
12	0	134	0	0	3416	-1469	0	793
13	0	0	0	0	2901	-2339	-9	1182
14	1179	0	0	0	0	2907	-2331	-15
