HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	-7532	-613	1932	0	0	689
2	0	0	-452	0	3421	-72	0	-133
3	0	872	-1074	0	3614	0	0	-1196
4	0	0	-673	0	3041	-190	0	-41
5	0	1231	-2513	0	2959	0	0	-1365
6	0	729	0	0	2515	-1542	0	-557
7	0	38	-902	0	3278	0	0	-141
8	0	969	-3902	0	3751	0	0	-1211
9	0	75	-637	0	3263	0	0	-190
10	0	923	0	0	3754	-1018	0	-1055
11	0	387	-1108	0	3610	0	0	-606
12	0	1405	-1416	0	3942	0	0	-1800
13	0	294	-1331	0	3364	0	0	-436
14	-253	0	118	-839	0	3318	0	0
