HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0	-140	3912	-1771	0	1768
2	0	539	0	0	4488	-1050	0	944
3	0	1327	4403	0	4796	0	0	-512
4	0	190	1010	0	4152	0	0	1148
5	0	536	0	0	3469	-145	0	988
6	0	407	8814	0	0	-4270	0	1936
7	0	0	1225	0	3693	-202	0	1473
8	0	745	540	0	5693	0	0	266
9	0	4	0	0	3357	-420	0	1655
10	0	0	1239	0	3503	-147	0	1472
11	0	0	2723	0	3453	-58	0	1427
12	0	7448	4124	0	8302	0	0	-7959
13	0	5	0	0	3864	-149	0	1512
14	1486	0	0	775	0	3741	-245	0
