HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	-2380	0	1116	-97	0	129
2	0	213	0	0	1911	-200	0	-274
3	0	673	-234	0	2165	0	0	-904
4	0	109	0	0	1723	-201	0	-123
5	0	501	-467	0	1603	0	0	-545
6	0	771	0	0	1371	-1150	0	-646
7	0	26	0	0	1806	-90	0	-55
8	0	456	-1674	0	2099	0	0	-574
9	0	159	0	0	1696	-189	0	-166
10	0	1107	0	0	2221	-981	0	-1183
11	0	183	0	0	1988	-54	0	-280
12	0	875	0	0	2305	-1	0	-1124
13	0	38	0	0	1853	-22	0	-88
14	-168	0	114	0	0	1839	-100	0
