HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0	0	1821	-1756	-864	1214
2	0	0	0	0	2573	-2451	-425	1163
3	0	0	0	0	3580	-311	-1546	680
4	0	0	0	0	1534	-3204	-126	1425
5	0	44	0	0	2027	-2267	0	1147
6	0	0	0	0	2263	-2275	-1457	1314
7	0	0	0	0	2528	-2001	-897	1138
8	0	0	0	0	2477	-1863	-402	1067
9	0	0	0	0	1373	-2640	-791	1493
10	0	0	0	0	3057	-1293	-3173	1257
11	0	0	0	0	3060	-2145	-650	1020
12	0	0	0	0	2945	-1412	-1019	990
13	0	0	0	0	2463	-1806	-1028	1152
14	1157	0	0	0	0	2455	-2016	-868
