HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	-1883	0	2090	0	-3899	1229
2	0	0	0	0	2272	0	-2365	937
3	0	-38	0	0	2225	0	-2836	1036
4	0	0	0	0	1640	-754	-2488	1187
5	0	0	0	0	2266	-43	-2225	942
6	0	0	-872	0	2321	0	-3673	1129
7	0	0	-1109	0	2457	0	-3600	1090
8	0	0	-1124	0	2338	0	-3542	1117
9	0	0	0	0	1207	0	-2256	1140
10	0	0	-715	0	2350	0	-3896	1160
11	0	0	-957	0	2321	0	-3515	1114
12	70	0	0	0	2850	0	-3539	861
13	0	0	-1049	0	2238	0	-3585	1152
14	1112	0	0	-1051	0	2352	0	-3536
