HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0	-0.332	0	-0.068	-0.458	0.593
2	0	0.367	0	0	0	-1.118	-0.341	0.15
3	0	0.57	0	0	0.438	0	-1.058	-0.298
4	0	0	0	-0.102	0	-0.475	-0.067	0.466
5	0	0.062	0	-0.126	0	-0.427	0	0.398
6	0	0	0	-0.101	0	-0.446	-0.07	0.462
7	0	0	0	-0.079	0	-0.489	-0.161	0.473
8	0	0	0	-0.084	0	-0.488	-0.081	0.461
9	0	0.786	0	0	0	-0.655	-1.049	-0.31
10	0	0.099	0	-0.013	0	-0.527	0	0.286
11	0	0.06	0	-0.147	0	-0.661	0	0.444
12	0	0.046	0	-0.191	0	-0.322	0	0.441
13	0	0	0	-0.123	0	-0.368	-0.21	0.488
14	0.466	0	0	0	-0.101	0	-0.461	-0.087
