HYP	HOD	AL	OL	SF	OT	CM	
1	0	641	0	0	4395	-999	0	-206
2	0	4250	0	0	5010	-1170	0	-4334
3	0	2557	0	7	5659	0	0	-2773
4	0	3541	0	0	5087	-1522	0	-3463
5	0	3979	0	0	4835	-946	0	-3962
6	0	759	0	0	1961	-2436	0	405
7	0	3851	0	0	5408	-1360	0	-3906
8	0	1895	0	87	6644	0	0	-2195
9	0	3502	0	0	5113	-1373	0	-3436
10	0	0	68	0	4008	-315	0	566
11	0	3589	0	0	6057	-1154	0	-3784
12	0	5937	0	0	7531	-12	0	-6858
13	0	3625	0	0	5299	-1400	0	-3624
14	-3561	0	3553	0	0	5339	-1300	0
