HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0	0	1684	-2164	-1222	987
2	0	0	0	0	1728	-2864	-56	968
3	0	0	788	0	1975	-745	0	414
4	0	0	299	0	779	-3278	0	1169
5	0	221	0	0	1215	-2496	0	751
6	0	0	0	0	948	-2686	-269	1094
7	0	0	0	0	1490	-2436	-317	955
8	0	0	0	0	1965	-2230	-521	866
9	0	0	0	0	236	-3197	-298	1363
10	0	0	0	0	1342	-1980	-1219	1041
11	0	25	0	0	1930	-2574	0	813
12	0	0	0	0	1704	-2059	-306	858
13	0	0	0	0	1614	-2255	-638	956
14	966	0	0	0	0	1456	-2444	-310
