HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	-7532	-613	1932	0	0	689
2	0	210	0	0	3528	-74	0	-397
3	0	807	-113	0	3611	0	0	-1140
4	0	65	0	0	3176	-125	0	-162
5	0	1435	-2090	0	3064	0	0	-1619
6	0	1099	0	0	2702	-1536	0	-1004
7	0	219	-422	0	3396	0	0	-375
8	0	1085	-3197	0	3820	0	0	-1369
9	0	266	-195	0	3395	0	0	-436
10	0	1300	0	0	3880	-1099	0	-1484
11	0	564	-640	0	3734	0	0	-836
12	0	1814	-1002	0	4202	0	0	-2315
13	0	466	-862	0	3480	0	0	-658
14	-474	0	288	-364	0	3434	0	0
